"gene"	"cor.ntop20"	"cor.mean"	"cor.sd"	"cor.median"	"cor.mean.sd.ratio"	"auc.gene"	"auc.ci95.min"	"auc.ci95.max"
"CD36"	0	-0.185281385281385	0.0813623444949955	-0.180451127819549	-2.27723754067561	0.508333333333333	0.245104131162466	0.7715625355042
"CD80"	0	-0.112677798392084	0.0742105075543925	-0.111278195488722	-1.51835369552616	0.625	0.374549398188197	0.875450601811803
"CD8A"	0	-0.390970933828077	0.0655861141828044	-0.393984962406015	-5.96118459981248	0.491666666666667	0.229155018856531	0.754178314476803
"CD8B"	0	-0.264440321583179	0.0664448463359875	-0.267669172932331	-3.97984698837288	0.666666666666667	0.427836511336241	0.905496821997092
"CD9"	1.2987012987013	0.135683364254793	0.0872397330649503	0.123308270676692	1.55529320743996	0.7	0.473682853184766	0.926317146815234
"CD99"	0	-0.465058750773037	0.0568685361367507	-0.467669172932331	-8.17778656469579	0.391666666666667	0.140464056036498	0.642869277296836
"CDC7"	0	-0.180333951762523	0.0763651938249296	-0.180451127819549	-2.36146787207725	0.516666666666667	0.252589176541249	0.780744156792084
"CDH23"	0	0.0832405689548547	0.0881153965933148	0.0766917293233083	0.94467677810089	0.525	0.255338773378274	0.794661226621726
"CDK14"	0	0.0855905998763142	0.0716860476831766	0.0932330827067669	1.19396455297117	0.7	0.471125516116144	0.928874483883856
"CEACAM8"	0	0.0771799628942486	0.0765575587537896	0.0676691729323308	1.00812988489433	0.5	0.238197580514488	0.761802419485512
"CENPK"	7.79220779220779	0.299814471243043	0.0711442343122652	0.293233082706767	4.21417805871804	0.716666666666667	0.482462040781631	0.950871292551702
"CES1"	0	-0.0232529375386518	0.0768934675392658	-0.0150375939849624	-0.302404590178973	0.641666666666667	0.396742670424178	0.886590662909155
"CES4"	0	-0.0910327767470625	0.0756083337157082	-0.0691729323308271	-1.20400453591996	0.483333333333333	0.22778107712612	0.738885589540547
"CFD"	3.03030303030303	0.271119356833643	0.072958645757227	0.266165413533835	3.71606893219762	0.55	0.296204137500747	0.803795862499253
"CFH"	0	-0.322201607915894	0.0673161319700575	-0.323308270676692	-4.7863951550159	0.475	0.209142820503686	0.740857179496314
"CHI3L1"	0	0.0106369820655535	0.0742777033053269	-0.00150375939849624	0.143205586497862	0.45	0.195610263702809	0.704389736297191
"CHI3L2"	0	-0.297093382807669	0.0806675838987309	-0.296240601503759	-3.68293394259379	0.433333333333333	0.165889596348047	0.700777070318619
"CHMP7"	0	0.134570191713049	0.0673269996930837	0.147368421052632	1.99875521449789	0.366666666666667	0.0937969073731334	0.6395364259602
"CHN1"	0	0.021273964131107	0.074213164069372	0.0195488721804511	0.28666024953768	0.433333333333333	0.172893079944238	0.693773586722429
"CHN2"	0	-0.0635745207173779	0.0755443836468956	-0.0691729323308271	-0.84155191489196	0.716666666666667	0.48755683620764	0.945776497125694
"CLC"	0	-0.0520717377860235	0.0724832907345484	-0.0691729323308271	-0.718396436728059	0.658333333333333	0.409220433826408	0.907446232840259
"CLEC17A"	0	0.282622139764997	0.0662405787502029	0.296240601503759	4.26660130538384	0.683333333333333	0.425200205581578	0.941466461085089
"CLEC4A"	0	0.215089672232529	0.0716133411688808	0.218045112781955	3.00348606449318	0.566666666666667	0.306412715592912	0.826920617740421
"CLEC4C"	0	0.114162028447743	0.0687064044690272	0.112781954887218	1.66159223918066	0.725	0.499338656205883	0.950661343794117
"CLEC4F"	6.92640692640693	0.245887445887446	0.0821950765899872	0.228571428571429	2.9915106365069	0.575	0.320917632202559	0.829082367797441
"CLECL1"	0	0.229931972789116	0.0764972570864096	0.234586466165414	3.00575447469168	0.591666666666667	0.342272686682048	0.841060646651286
"CLSTN3"	0	-0.0562770562770563	0.0657066343817901	-0.0586466165413534	-0.856489710765842	0.508333333333333	0.250210644693007	0.76645602197366
"CLU"	0	0.0173160173160173	0.0774169567895859	0.0270676691729323	0.223672151865658	0.566666666666667	0.303857508637892	0.829475824695441
"CMPK2"	1.73160173160173	0.25256648113791	0.0775766727622461	0.24812030075188	3.2557013873483	0.566666666666667	0.298800093469551	0.834533239863782
"CMTM5"	1.2987012987013	0.224366110080396	0.0769755107838134	0.219548872180451	2.91477260489418	0.508333333333333	0.249835102270404	0.766831564396262
"CMTM8"	0	0.0826221397649969	0.0825057599844501	0.0736842105263158	1.00141056552377	0.541666666666667	0.286800713128253	0.79653262020508
"COL19A1"	0.865800865800866	0.242300556586271	0.0734796517362126	0.251127819548872	3.2975191207508	0.508333333333333	0.245985973514137	0.77068069315253
"COLQ"	0	0.169325912183055	0.0654435765204691	0.160902255639098	2.58735725010528	0.75	0.523944946088923	0.976055053911077
"CPA3"	0	-0.245516388373531	0.0700093945692109	-0.239097744360902	-3.5069063214197	0.566666666666667	0.305317513691627	0.828015819641706
"CPSF1"	0	-0.0896722325293754	0.0839445973280921	-0.075187969924812	-1.0682311355774	0.458333333333333	0.199605872466668	0.717060794199999
"CRIM1"	0	-0.200989486703772	0.0743381845737075	-0.2	-2.70371798633969	0.525	0.24652927096557	0.80347072903443
"CRIP2"	0	-0.316635745207174	0.0655229619684754	-0.306766917293233	-4.83243943336253	0.466666666666667	0.201753776352934	0.731579556980399
"CRISP3"	0	-0.135312306740878	0.0867811498152013	-0.15187969924812	-1.55923615933902	0.425	0.168994739334713	0.681005260665287
"CRYZ"	0	0.0362399505256648	0.0741399805027734	0.0225563909774436	0.488804424817851	0.575	0.317420728149043	0.832579271850957
"CSF2RA"	14.2857142857143	0.32430426716141	0.0724139232665574	0.305263157894737	4.47847944887116	0.633333333333333	0.388046543531756	0.878620123134911
"CSGALNACT1"	0	-0.0747062461348176	0.0816503782237566	-0.075187969924812	-0.914952848474147	0.508333333333333	0.250148016355644	0.766518650311023
"CST7"	0	-0.307235621521336	0.0713132744686225	-0.302255639097744	-4.30825289976718	0.5	0.237293393642523	0.762706606357477
"CTSW"	0	-0.321954236239951	0.0787426920722056	-0.326315789473684	-4.08868718819931	0.433333333333333	0.166899050153891	0.699767616512775
"CXCR5"	0	-0.038961038961039	0.0768749032559861	-0.0225563909774436	-0.50681090070842	0.6	0.335148147179566	0.864851852820434
"CYBRD1"	0	-0.228818800247372	0.0731118229478292	-0.216541353383459	-3.12970995690603	0.433333333333333	0.179219151553698	0.687447515112968
"CYorf15A"	0	-0.248979591836735	0.0815811284941284	-0.26015037593985	-3.05192630247392	0.391666666666667	0.142143064022576	0.641190269310757
"CYorf15B"	0	-0.217316017316017	0.0793721474112167	-0.230075187969925	-2.73793798459466	0.425	0.168447988524854	0.681552011475146
